,post_username,post_ID,post_comment,message_ID,sentiment,DatetimeSG,Hour,Dayofweek,wordcount,mean,vNegTerms,negTerms,posTerms,vPosTerms
87,Indarjit Kaur Kaur,3.47E+14,Yes me too i also recieved the notification but they said invalid code,4356,neutral,8/22/2017 21:12,21,2,13,1,0,0,1,0
88,Nor Hazirah Ishak,1.50E+15,i hitch daily to work. dont be like smrt please. I've been hitching for the last 3 mths!,4354,neutral,8/22/2017 6:50,6,2,18,0.5,0,0,1,0
89,Leonard Lim,1.02E+16,You need to get the hitch up grab. i think there are people trying to complete their two tripd a day,4350,neutral,8/22/2017 5:10,5,2,21,0,0,0,0,0
90,Mark Z C Koh,8.69E+14,Grabhitch server down. Unable to check booking.  Recently it's been down frequently. Mayb you should compensate both drivers and riders for a long period,4349,neutral,8/22/2017 5:02,5,2,24,0,0,0,0,0
91,Aeson Chua,1.86E+15,"Disappointing leh grab. Service down should announce, not leave everyone guessing",4348,negative,8/22/2017 4:57,4,2,11,-1.5,0,2,0,0
92,Ken Teng,2.46E+15,I dun know why now getting hard to get hitch driver when grab still wan people take hitch ride. Lol,4336,positive,8/22/2017 1:23,1,2,20,1.333333333,0,1,1,0
93,Liz Herbshew,5.09E+14,Theres no hitch drivers in my place at all.. but loads for grabcar  :),4335,positive,8/21/2017 15:22,15,1,14,0,0,1,0,0
94,Melvin Emmanuel Chan,1.02E+16,,4340,neutral,8/22/2017 4:06,4,2,1,0,0,0,0,0
95,Denise Soh,1.02E+16,Hitch down?  Can't find my promo code at all?!,4352,neutral,8/22/2017 5:55,5,2,9,0,0,0,0,0
96,Melvo Sek,1.02E+16,"Server is down, I'm  not able to achieve today.",4339,neutral,8/22/2017 3:21,3,2,9,0,0,0,0,0
97,Vincent Jong,1.02E+16,Grab Drivers mode crash ....!!!!,4341,negative,8/22/2017 4:10,4,2,5,-2,0,1,0,0
98,LP Ho,1.02E+16,Cant apply promo code. Pls settle asap,4351,neutral,8/22/2017 5:19,5,2,7,2,0,0,1,0
99,GH Chua,1.02E+16,Grabhitch down? Can't use.,4346,neutral,8/22/2017 4:51,4,2,4,0,0,0,0,0
100,Leonard Lim,1.02E+16,No driver mode ??,4342,negative,8/22/2017 4:11,4,2,4,0,0,1,0,0
101,Shermaine Karl,1.94E+15,Hitch is down.,4345,neutral,8/22/2017 4:41,4,2,3,0,0,0,0,0
102,Chen Tianguo,1.02E+16,Form doesn't seem to work,4343,neutral,8/22/2017 4:29,4,2,5,0,0,0,0,0
103,Alex Chue,1.02E+16,"Cannot access both links regarding the Premier Football jersey rebate in the site. Error msg: ""You need permission. This form can only be viewed by users in the owner's organization. Try contacting the owner of the form if you think this is a mistake."" Can't read both the T&C or signup form for this.",4357,neutral,8/22/2017 21:46,21,2,54,-2,0,2,0,0
104,Alenzo Gill,9.67E+14,,4358,neutral,8/23/2017 8:09,8,3,1,0,0,0,0,0
105,Shijie Tay,1.02E+16,"hi grab! last night i opened my app and was welcomed with a message in regards to $4 off grabhitch! when i selected to opt in, it brought me to the grabhitch page, even though i didn't want to book a ride then and there. does that mean my optin status has been void?",4330,neutral,8/19/2017 21:46,21,6,54,1.5,0,0,2,0
106,GH Chua,1.02E+16,Grabhitch promo can't be used? I was sent with a promo code valid for 1 week with 2 redemption per day. Now can't use?,4332,neutral,8/22/2017 4:40,4,2,24,0,0,0,0,0
107,Chaw Kalyar Myint,1.02E+16,How about hitch riders ?  we would love to have Premier Football vouchers too  :) ,4333,positive,8/23/2017 17:32,17,3,16,4,0,0,0,1
108,Peter Li,3.40E+14,Yr server having problem again I couldn't register on my app..,4329,neutral,8/19/2017 3:08,3,6,11,-2,0,1,0,0
109,Sam Lim,1.02E+16,Benjamin Goh,4331,neutral,8/21/2017 3:10,3,1,2,0,0,0,0,0
110,Grab,2.30E+14,"Hi, You should see a popup notification when you open your Grab app. Alternatively, you can go to your Notifications tab to view it. Once you tap on Opt in now, you will be redirected to a site that will require you to input your details. Kindly ensure that you provide the correct information to enjoy next week's promo!",4373,neutral,8/19/2017 2:09,2,6,59,2.333333333,0,0,2,1
111,Grab,2.30E+14,"Hi, Grabhitch is currently experiencing a technical issue as of now. Our engineers are working on it to resolve the issue asap. We are sorry for any inconvenience caused. Thanks.",4379,neutral,8/22/2017 5:43,5,2,30,0.25,0,2,2,0
112,Hazel Seng,1.02E+16,Opt in TO get $4 off or Opt in (is there a catch) AND get $4 off. Please advise on terms and conditions.,4361,neutral,8/18/2017 18:50,18,5,23,1,0,0,1,0
113,James Tan,1.95E+15,What are we opting in to? Where can i find the link to the Terms and Conditions? Am I opting in to be contacted by Grab for marketing purposes?,4360,neutral,8/18/2017 18:46,18,5,29,0,0,0,0,0
114,Wong Tai Yu,1.02E+16,"Hi, What are we opting in for? i do not see and couldn't find any links to the terms and conditions..",4363,neutral,8/18/2017 19:45,19,5,21,0,0,0,0,0
115,Ammar Lulla,2.18E+15,limited to 50k who opt in  but where is the survey? haven't received any notification,4362,neutral,8/18/2017 19:25,19,5,15,-1,0,1,0,0
116,Peter Chua,1.02E+16,"i told u i cant see any pop up n cant redeem. no one replied. thanks, grab for the way u handle feedback",4375,neutral,8/19/2017 16:40,16,6,23,2,0,1,1,0
117,Elynn Goh,1.02E+16,Hi may I know what's the point of the promo code when grab increases the price ridiculously ? I take grab at least twice a day but sometimes I rather take uber.,4367,neutral,8/18/2017 22:38,22,5,32,0,0,0,0,0
118,Sandra Tj,1.02E+16,Clicked the link and redirected to Grab app but no Opt In option ,4366,neutral,8/18/2017 22:02,22,5,14,0,0,1,0,0
119,Amy Ngu,1.02E+16,"Appreciate that grab has come up with promo code for commuters but what is the point of giving us the code while increasing the price? I am a regular grab rider. I took the ride everyday same timing same route, and the ride cost starting from $6... and it's $7.50 now!",4368,neutral,8/18/2017 22:43,22,5,51,2,0,0,1,0
120,Eric Ang,1.02E+16,"Er so the opt in is to opt in to get the discount party? Or opt in to use grab pay? Or opt in to only use grab. Very confusing.   While I have the code, I thought I would know what I'm opting myself into today, but apparently no further news on what was being opted into.  I think a lot of people are professional so here and such words like Opt in is considered as T&C that could be legally binding. Furthermore, you're replies had been confusing and not directly addressing their concerns.  While i would enjoy the code, Do explain clearly what Is being ""opted"" into.  Thanks",4377,negative,8/21/2017 9:37,9,1,109,0.25,0,3,4,0
121,Sarah Yeo,1.02E+16,Hi Grab this week I didn't receive notification on top to get $4 off. I have topping seeking to get this promo. Also I cannot find the opt in option. Please help....,4376,neutral,8/20/2017 21:41,21,0,32,1.666666667,0,0,3,0
122,Sabrina Cher,1.02E+16,"Hi Grab, I have sent several emails and also pm regarding 3 of my trips where I had keyed in the promo codes and even attached screenshots to prove it but till now no respond.  This is too irresponsible. And you are only selective replying",4372,negative,8/19/2017 0:28,0,6,45,-1,0,2,0,0
123,Ankita Prashant,1.02E+16,I clicked yes and there was a pop up which said I have to use some code to use this promo.... I just forgot the code can u send me the code,4370,neutral,8/18/2017 23:08,23,5,32,1,0,0,1,0
124,Qin Yi,1.02E+16,"Hi, the promo code wasn't applied despite being inserted upon booking. Was charged the full fare without the $4 off. Have already lodged for help via the app but no response. Would appreciate some help here. Thanks.",4384,neutral,8/27/2017 22:45,22,0,37,1.6,0,1,4,0
125,Soh Feng Qun,1.02E+16,"Hi, I successfully opted in for YES promotion, applied the promo before I booked, but was still charged the full amount. I have sent in my query through the grab app twice since last week but no response , please rectify this. Have PMed you already",4383,neutral,8/26/2017 17:02,17,6,46,0.666666667,0,1,2,0
126,Tan Guodong,1.02E+16,"Hi, may I suggest that for Grabhitch, put a restriction to a maximum of 2 passengers on the car? It has been terrible when some drivers squeeze in so many passengers in the car sending them to different locations.",4382,neutral,8/26/2017 16:08,16,6,39,-2.5,0,2,0,0
127,WeNda Bsk,1.02E+16,Hi pls help! Error and I can't apply promo and I didn't book any but they looking hitch drivers for me now and I can't delete as no records shown,4380,neutral,8/22/2017 6:17,6,2,30,0.666666667,0,2,2,0
128,Siva Balan,1.80E+15,What's the point of giving promos when u hike the price up makes no difference. On top of that u have peak charge on more frequent then ever. Morning to late night also have. Been monitoring 8/10 times  throughout the day u are on high demand. Legit? Stop playing cheap tricks . please think of a better plan..,4378,negative,8/21/2017 16:45,16,1,58,0.6,0,3,3,0
129,Angeline Shininedes,2.13E+15,"Didn't receive any notification. Restarted my phone twice, and restart the app once. Nothing. Lost my card details, and now I have to pay $1 to add it back in. Grab please assist.",4374,neutral,8/19/2017 2:09,2,6,33,0,0,1,2,0
130,Raymond Teo,1.89E+15,"No link to terms and conditions. Kinda fishy.   The below copy and paste reply sure come out.   Hi! From 18 Aug (10am)  20 Aug (6pm), you will receive a notification with the $4 off next week offer. If you want the offer,  you'll have to claim it by clicking on the opt in now button. This will lead to a survey link where you can opt in.  If you successfully opted in, you'll receive an email & inapp notification at 6am on 21 August with the redemption instructions.",4371,neutral,8/19/2017 0:18,0,6,88,1,0,1,1,0
131,Niti KothariShah,1.02E+16,"Hi grab! I've stopped topping up coz every time I try to book your prices are ridiculous and uber is less than half the price. Why the crazy surge prices pretty much all day Long? Uber with surge is also half the price ...I was a loyal grab customer, please reduce the prices so we can use grab more often! Thanks",4369,negative,8/18/2017 22:52,22,5,61,0.142857143,0,3,4,0
132,Abigail TayHendricks,1.02E+16,Dear grab.   You know the last time I Top up was my First and last time.   Not only was it difficult to get a cab as its forever on search mood..  Not like it was much cheaper..  From Heeren to woodlands $22/ not much different from my usual uber ride.  Then I have balance $8 in my grab credit.   In order to use off this small amount I want to use for short distance But short distance your driver don't want to take..   So can I have my balance credit back to me cause I'm not interested to do with any of your Top up promotion.   Like I mention that was my first and my last.   Unless your company made it more flexible that after deducting the grabpay the rest can top up by cash or other payment.   If not please.  Give me back the balance.   Thank you.,4365,negative,8/18/2017 21:47,21,5,148,1.166666667,0,1,9,0
133,Suresh Sharma,1.02E+16,I did mine and was successful !! Thanks grab ! Promo has been so useful for me as I take grab very frequently and has helped me to save big $$$ ... awesome service grab ! Thanks !,4364,positive,8/18/2017 20:32,20,5,38,2.5,0,0,6,1
134,Desmond Tan,1.02E+16,I keyed in promo code and there was a congrats notification saying I will get the discount. However I was still charged the full fare. Please explain grab what is going on. Is your promo even working,4381,neutral,8/22/2017 7:12,7,2,37,1,0,0,2,0
135,Surya Shalini,1.47E+15,Msg me now grab its urgent,4325,neutral,8/18/2017 6:19,6,5,6,-1,0,1,0,0
136,Ankush Gupta,1.54E+15,Perfect client to work...working on their many different requirements,4322,positive,8/17/2017 22:06,22,4,9,3,0,0,1,0
137,Yee Adeline,9.69E+14,Let us go for.it! Any audition?,4323,positive,8/17/2017 23:08,23,4,6,0,0,0,0,0
138,Patrick Sun,2.34E+15,,4324,neutral,8/18/2017 0:57,0,5,1,0,0,0,0,0
139,Bob Liu,1.17E+14,,4328,neutral,8/27/2017 6:38,6,0,1,0,0,0,0,0
140,Fred Fred,6.48E+14,So funny,4326,positive,8/18/2017 7:40,7,5,2,4,0,0,0,1
