Channel,Campaign,Placement,Date,Device,Country,Served.Impressions,No.of.clicks,Cost,No.of.products.viewed,No.of.product.bought
display,weekly_sales_2015_53,komli,1/1/16,desktop,malaysia,96,1,0.56,11,2
display,weekly_sales_2015_53,komli,1/1/16,desktop,singapore,174,6,1.05,15,2
display,weekly_sales_2015_53,komli,1/1/16,desktop,thailand,127,3,0.27,2,2
display,weekly_sales_2015_53,komli,1/1/16,mobile,korea,114,5,0.47,8,2
display,weekly_sales_2015_53,komli,1/1/16,mobile,malaysia,193,5,1.44,19,2
display,weekly_sales_2015_53,komli,1/1/16,mobile,singapore,85,2,0.22,2,2
display,weekly_sales_2015_53,komli,1/1/16,mobile,thailand,86,5,1.32,18,2
display,weekly_sales_2015_53,Line,1/1/16,desktop,cambodia,175,5,1.07,15,2
display,weekly_sales_2015_53,Line,1/1/16,desktop,indonesia,105,4,0.88,11,2
display,weekly_sales_2015_53,Line,1/1/16,desktop,korea,162,6,0.63,12,2
display,weekly_sales_2015_53,Line,1/1/16,desktop,malaysia,350,5,1.59,20,2
display,weekly_sales_2015_53,Line,1/1/16,desktop,singapore,335,8,2.43,30,2
display,weekly_sales_2015_53,Line,1/1/16,mobile,korea,63,3,0.17,3,2
display,weekly_sales_2015_53,Line,1/1/16,mobile,malaysia,111,3,1.1,7,2
display,weekly_sales_2015_53,Line,1/1/16,mobile,singapore,179,4,1.04,4,2
display,weekly_sales_2015_53,Line,1/1/16,mobile,thailand,18,3,0.3,2,2
display,weekly_sales_2015_53,yahoo,1/1/16,desktop,indonesia,189,3,1,8,2
display,weekly_sales_2015_53,yahoo,1/1/16,desktop,korea,143,1,0.25,3,2
display,weekly_sales_2015_53,yahoo,1/1/16,desktop,singapore,16,2,0.72,3,2
display,weekly_sales_2015_53,yahoo,1/1/16,mobile,cambodia,141,4,0.87,14,2
display,weekly_sales_2015_53,yahoo,1/1/16,mobile,indonesia,160,5,0.84,13,2
display,weekly_sales_2015_53,yahoo,1/1/16,mobile,thailand,190,3,0.9,5,2
search,weekly_sales_2015_53,facebook,1/1/16,desktop,cambodia,354,9,1.87,15,2
search,weekly_sales_2015_53,facebook,1/1/16,desktop,indonesia,238,7,1.73,17,2
search,weekly_sales_2015_53,facebook,1/1/16,desktop,korea,134,4,1.11,6,2
search,weekly_sales_2015_53,facebook,1/1/16,desktop,malaysia,155,3,0.88,5,2
search,weekly_sales_2015_53,facebook,1/1/16,desktop,singapore,458,10,2.47,29,2
search,weekly_sales_2015_53,facebook,1/1/16,desktop,thailand,115,2,0.39,2,2
search,weekly_sales_2015_53,facebook,1/1/16,mobile,cambodia,747,17,2.96,50,2
search,weekly_sales_2015_53,facebook,1/1/16,mobile,indonesia,271,4,1.32,15,2
search,weekly_sales_2015_53,facebook,1/1/16,mobile,malaysia,126,1,0.57,2,2
search,weekly_sales_2015_53,facebook,1/1/16,mobile,singapore,56,1,0.27,3,2
search,weekly_sales_2015_53,facebook,1/1/16,mobile,thailand,131,4,1.01,6,2
search,weekly_sales_2015_53,ooyala,1/1/16,desktop,cambodia,85,3,0.56,8,2
search,weekly_sales_2015_53,ooyala,1/1/16,desktop,korea,328,9,2.14,39,2
search,weekly_sales_2015_53,ooyala,1/1/16,desktop,malaysia,148,5,1.07,20,2
search,weekly_sales_2015_53,ooyala,1/1/16,desktop,singapore,320,12,1.8,22,2
search,weekly_sales_2015_53,ooyala,1/1/16,desktop,thailand,54,1,0.67,2,2
search,weekly_sales_2015_53,ooyala,1/1/16,mobile,cambodia,86,3,1.06,5,2
search,weekly_sales_2015_53,ooyala,1/1/16,mobile,indonesia,136,4,1.39,4,2
search,weekly_sales_2015_53,ooyala,1/1/16,mobile,korea,27,3,0.62,4,2
search,weekly_sales_2015_53,ooyala,1/1/16,mobile,malaysia,221,7,1.64,15,2
search,weekly_sales_2015_53,ooyala,1/1/16,mobile,singapore,282,5,1.82,13,2
search,weekly_sales_2015_53,ooyala,1/1/16,mobile,thailand,405,13,3.2,31,2
search,weekly_sales_2015_53,youtube,1/1/16,desktop,cambodia,130,3,0.5,4,2
search,weekly_sales_2015_53,youtube,1/1/16,desktop,indonesia,284,6,1.39,25,2
search,weekly_sales_2015_53,youtube,1/1/16,desktop,singapore,237,5,0.9,26,2
search,weekly_sales_2015_53,youtube,1/1/16,mobile,cambodia,332,11,2.44,20,2
search,weekly_sales_2015_53,youtube,1/1/16,mobile,indonesia,78,4,1.35,5,2
search,weekly_sales_2015_53,youtube,1/1/16,mobile,korea,156,6,1.27,38,2
search,weekly_sales_2015_53,youtube,1/1/16,mobile,malaysia,153,3,0.73,5,2
search,weekly_sales_2015_53,youtube,1/1/16,mobile,singapore,101,2,0.71,9,2
search,weekly_sales_2015_53,youtube,1/1/16,mobile,thailand,354,13,3.56,30,2
social,weekly_sales_2015_53,facebook,1/1/16,desktop,cambodia,451,7,1.38,11,2
social,weekly_sales_2015_53,facebook,1/1/16,desktop,indonesia,122,3,0.74,9,2
social,weekly_sales_2015_53,facebook,1/1/16,desktop,korea,32,2,0.61,3,2
social,weekly_sales_2015_53,facebook,1/1/16,desktop,malaysia,59,1,0.48,2,2
social,weekly_sales_2015_53,facebook,1/1/16,desktop,singapore,363,10,2.32,17,2
social,weekly_sales_2015_53,facebook,1/1/16,desktop,thailand,71,6,0.61,5,2
social,weekly_sales_2015_53,facebook,1/1/16,mobile,cambodia,200,5,1.11,17,2
social,weekly_sales_2015_53,facebook,1/1/16,mobile,korea,355,5,1.32,29,2
social,weekly_sales_2015_53,facebook,1/1/16,mobile,malaysia,201,4,1.13,4,2
social,weekly_sales_2015_53,facebook,1/1/16,mobile,singapore,146,3,0.47,6,2
social,weekly_sales_2015_53,facebook,1/1/16,mobile,thailand,24,1,0.59,15,2
social,weekly_sales_2015_53,ooyala,1/1/16,desktop,cambodia,264,4,0.67,19,2
social,weekly_sales_2015_53,ooyala,1/1/16,desktop,indonesia,62,3,1.18,12,2
social,weekly_sales_2015_53,ooyala,1/1/16,desktop,korea,76,2,0.4,2,2
social,weekly_sales_2015_53,ooyala,1/1/16,desktop,malaysia,21,2,0.61,10,2
social,weekly_sales_2015_53,ooyala,1/1/16,desktop,singapore,334,5,2.07,31,2
social,weekly_sales_2015_53,ooyala,1/1/16,mobile,cambodia,112,1,0.34,11,2
social,weekly_sales_2015_53,ooyala,1/1/16,mobile,indonesia,316,6,1.67,7,2
social,weekly_sales_2015_53,ooyala,1/1/16,mobile,korea,211,5,1.5,8,2
social,weekly_sales_2015_53,ooyala,1/1/16,mobile,malaysia,175,6,0.74,8,2
social,weekly_sales_2015_53,ooyala,1/1/16,mobile,singapore,311,6,1.19,19,2
social,weekly_sales_2015_53,ooyala,1/1/16,mobile,thailand,117,4,0.76,10,2
social,weekly_sales_2015_53,youtube,1/1/16,desktop,indonesia,138,1,0.24,8,2
social,weekly_sales_2015_53,youtube,1/1/16,desktop,korea,198,4,0.64,6,2
social,weekly_sales_2015_53,youtube,1/1/16,desktop,malaysia,107,4,1.04,4,2
social,weekly_sales_2015_53,youtube,1/1/16,desktop,singapore,313,9,1.81,12,2
social,weekly_sales_2015_53,youtube,1/1/16,desktop,thailand,227,5,1.22,7,2
social,weekly_sales_2015_53,youtube,1/1/16,mobile,cambodia,80,6,1.02,5,2
social,weekly_sales_2015_53,youtube,1/1/16,mobile,malaysia,108,2,1.21,6,2
social,weekly_sales_2015_53,youtube,1/1/16,mobile,singapore,101,3,1.07,5,2
video,weekly_sales_2015_53,facebook,1/1/16,desktop,cambodia,15,1,0.66,4,2
video,weekly_sales_2015_53,facebook,1/1/16,desktop,indonesia,425,7,1.5,22,2
video,weekly_sales_2015_53,facebook,1/1/16,desktop,malaysia,340,9,2.04,10,2
video,weekly_sales_2015_53,facebook,1/1/16,desktop,singapore,118,2,0.34,9,2
video,weekly_sales_2015_53,facebook,1/1/16,mobile,cambodia,293,4,1.22,11,2
video,weekly_sales_2015_53,facebook,1/1/16,mobile,indonesia,58,3,0.68,2,2
video,weekly_sales_2015_53,facebook,1/1/16,mobile,korea,274,5,0.82,4,2
video,weekly_sales_2015_53,facebook,1/1/16,mobile,malaysia,431,7,2.07,20,2
video,weekly_sales_2015_53,facebook,1/1/16,mobile,singapore,181,9,1.77,24,2
video,weekly_sales_2015_53,facebook,1/1/16,mobile,thailand,36,1,0.25,15,2
video,weekly_sales_2015_53,ooyala,1/1/16,desktop,cambodia,250,5,1.32,8,2
video,weekly_sales_2015_53,ooyala,1/1/16,desktop,indonesia,150,6,1.35,19,2
video,weekly_sales_2015_53,ooyala,1/1/16,desktop,korea,249,8,1.69,28,2
video,weekly_sales_2015_53,ooyala,1/1/16,desktop,malaysia,254,4,0.82,27,2
video,weekly_sales_2015_53,ooyala,1/1/16,desktop,singapore,317,8,1.38,21,2
video,weekly_sales_2015_53,ooyala,1/1/16,mobile,cambodia,87,1,0.41,7,2
video,weekly_sales_2015_53,ooyala,1/1/16,mobile,indonesia,259,4,0.68,15,2
video,weekly_sales_2015_53,ooyala,1/1/16,mobile,korea,31,3,0.7,14,2
video,weekly_sales_2015_53,ooyala,1/1/16,mobile,malaysia,124,2,0.32,14,2
video,weekly_sales_2015_53,ooyala,1/1/16,mobile,singapore,27,3,0.71,3,2
video,weekly_sales_2015_53,ooyala,1/1/16,mobile,thailand,263,2,1.11,17,2
video,weekly_sales_2015_53,youtube,1/1/16,desktop,cambodia,210,4,0.93,16,2
video,weekly_sales_2015_53,youtube,1/1/16,desktop,indonesia,324,6,2,17,2
video,weekly_sales_2015_53,youtube,1/1/16,desktop,korea,106,1,0.41,3,2
video,weekly_sales_2015_53,youtube,1/1/16,desktop,malaysia,251,6,1.81,31,2
video,weekly_sales_2015_53,youtube,1/1/16,desktop,singapore,116,3,0.28,3,2
video,weekly_sales_2015_53,youtube,1/1/16,desktop,thailand,229,7,1.95,24,2
video,weekly_sales_2015_53,youtube,1/1/16,mobile,cambodia,269,3,0.7,16,2
video,weekly_sales_2015_53,youtube,1/1/16,mobile,indonesia,321,8,1.44,21,2
video,weekly_sales_2015_53,youtube,1/1/16,mobile,korea,225,6,0.69,7,2
video,weekly_sales_2015_53,youtube,1/1/16,mobile,malaysia,415,7,2.73,39,2
video,weekly_sales_2015_53,youtube,1/1/16,mobile,singapore,210,6,2.01,21,2
video,weekly_sales_2015_53,youtube,1/1/16,mobile,thailand,375,10,1.95,26,2
display,weekly_sales_2015_53,DoubleClick,2/1/16,desktop,cambodia,198,2,0.81,5,2
display,weekly_sales_2015_53,DoubleClick,2/1/16,desktop,malaysia,137,3,0.76,5,2
display,weekly_sales_2015_53,DoubleClick,2/1/16,desktop,thailand,123,5,1.12,5,2
display,weekly_sales_2015_53,DoubleClick,2/1/16,mobile,cambodia,110,4,0.97,15,2
display,weekly_sales_2015_53,DoubleClick,2/1/16,mobile,indonesia,17,1,0.52,3,2
display,weekly_sales_2015_53,DoubleClick,2/1/16,mobile,korea,640,13,2.28,42,2
display,weekly_sales_2015_53,GDN,2/1/16,desktop,korea,36,2,0.54,3,2
display,weekly_sales_2015_53,GDN,2/1/16,desktop,malaysia,87,1,0.7,2,2
display,weekly_sales_2015_53,GDN,2/1/16,desktop,singapore,114,6,1.1,22,2
display,weekly_sales_2015_53,GDN,2/1/16,desktop,thailand,198,6,1.43,28,2
display,weekly_sales_2015_53,GDN,2/1/16,mobile,cambodia,240,6,1.36,5,2
display,weekly_sales_2015_53,GDN,2/1/16,mobile,korea,150,1,0.2,2,2
display,weekly_sales_2015_53,GDN,2/1/16,mobile,malaysia,334,8,1.88,11,2
display,weekly_sales_2015_53,GDN,2/1/16,mobile,singapore,125,1,0.62,3,2
display,weekly_sales_2015_53,GDN,2/1/16,mobile,thailand,72,2,0.78,13,2
display,weekly_sales_2015_53,komli,2/1/16,desktop,cambodia,85,2,0.49,2,2
display,weekly_sales_2015_53,komli,2/1/16,desktop,indonesia,158,5,0.92,16,2
display,weekly_sales_2015_53,komli,2/1/16,desktop,korea,29,3,0.76,3,2
display,weekly_sales_2015_53,komli,2/1/16,desktop,malaysia,180,9,2.06,8,2
display,weekly_sales_2015_53,komli,2/1/16,desktop,singapore,148,2,0.3,6,2
display,weekly_sales_2015_53,komli,2/1/16,desktop,thailand,105,6,1.46,6,2
display,weekly_sales_2015_53,komli,2/1/16,mobile,cambodia,135,1,0.58,2,2
display,weekly_sales_2015_53,komli,2/1/16,mobile,indonesia,426,6,2.3,25,2
display,weekly_sales_2015_53,komli,2/1/16,mobile,korea,93,1,0.45,5,2
display,weekly_sales_2015_53,komli,2/1/16,mobile,malaysia,203,5,0.98,5,2
display,weekly_sales_2015_53,Line,2/1/16,desktop,indonesia,154,4,0.91,7,2
display,weekly_sales_2015_53,Line,2/1/16,desktop,malaysia,409,8,1.15,15,2
display,weekly_sales_2015_53,Line,2/1/16,mobile,cambodia,343,5,1.16,19,2
display,weekly_sales_2015_53,Line,2/1/16,mobile,indonesia,74,3,0.43,2,2
display,weekly_sales_2015_53,Line,2/1/16,mobile,singapore,323,9,0.84,12,2
display,weekly_sales_2015_53,Line,2/1/16,mobile,thailand,77,2,0.37,3,2
display,weekly_sales_2015_53,yahoo,2/1/16,desktop,cambodia,108,3,0.39,5,2
display,weekly_sales_2015_53,yahoo,2/1/16,desktop,indonesia,131,2,0.41,2,2
display,weekly_sales_2015_53,yahoo,2/1/16,desktop,singapore,133,3,0.78,3,2
display,weekly_sales_2015_53,yahoo,2/1/16,mobile,cambodia,67,1,0.24,8,2
display,weekly_sales_2015_53,yahoo,2/1/16,mobile,indonesia,142,1,0.24,11,2
display,weekly_sales_2015_53,yahoo,2/1/16,mobile,korea,137,1,0.15,3,2
display,weekly_sales_2015_53,yahoo,2/1/16,mobile,malaysia,22,2,0.78,11,2
display,weekly_sales_2015_53,yahoo,2/1/16,mobile,singapore,205,3,0.8,5,2
display,weekly_sales_2015_53,yahoo,2/1/16,mobile,thailand,81,3,0.19,2,2
search,weekly_sales_2015_53,facebook,2/1/16,desktop,cambodia,141,1,0.38,3,2
search,weekly_sales_2015_53,facebook,2/1/16,desktop,indonesia,351,9,1.66,36,2
search,weekly_sales_2015_53,facebook,2/1/16,desktop,korea,229,5,1.5,20,2
search,weekly_sales_2015_53,facebook,2/1/16,desktop,malaysia,201,4,1,15,2
search,weekly_sales_2015_53,facebook,2/1/16,desktop,singapore,14,2,0.77,2,2
search,weekly_sales_2015_53,facebook,2/1/16,desktop,thailand,226,7,1.25,13,2
search,weekly_sales_2015_53,facebook,2/1/16,mobile,cambodia,19,2,0.68,4,2
search,weekly_sales_2015_53,facebook,2/1/16,mobile,indonesia,48,1,0.32,3,2
search,weekly_sales_2015_53,facebook,2/1/16,mobile,malaysia,120,2,0.57,2,2
search,weekly_sales_2015_53,facebook,2/1/16,mobile,singapore,331,9,1.15,25,2
search,weekly_sales_2015_53,facebook,2/1/16,mobile,thailand,385,8,2.04,48,2
search,weekly_sales_2015_53,ooyala,2/1/16,desktop,cambodia,78,2,0.49,2,2
search,weekly_sales_2015_53,ooyala,2/1/16,desktop,malaysia,171,5,1.45,23,2
search,weekly_sales_2015_53,ooyala,2/1/16,desktop,singapore,131,3,0.78,4,2
search,weekly_sales_2015_53,ooyala,2/1/16,desktop,thailand,122,2,0.68,2,2
search,weekly_sales_2015_53,ooyala,2/1/16,mobile,cambodia,84,4,0.77,17,2
search,weekly_sales_2015_53,ooyala,2/1/16,mobile,indonesia,85,2,0.21,14,2
search,weekly_sales_2015_53,ooyala,2/1/16,mobile,korea,226,5,0.86,12,2
search,weekly_sales_2015_53,ooyala,2/1/16,mobile,malaysia,361,8,2.26,33,2
search,weekly_sales_2015_53,ooyala,2/1/16,mobile,singapore,111,3,0.78,12,2
search,weekly_sales_2015_53,ooyala,2/1/16,mobile,thailand,303,11,2.72,31,2
search,weekly_sales_2015_53,youtube,2/1/16,desktop,cambodia,172,3,0.92,4,2
search,weekly_sales_2015_53,youtube,2/1/16,desktop,indonesia,52,2,0.2,3,2
search,weekly_sales_2015_53,youtube,2/1/16,desktop,korea,74,4,1.34,18,2
search,weekly_sales_2015_53,youtube,2/1/16,desktop,malaysia,371,14,2.14,19,2
search,weekly_sales_2015_53,youtube,2/1/16,desktop,thailand,131,3,0.16,15,2
search,weekly_sales_2015_53,youtube,2/1/16,mobile,cambodia,574,8,1.7,24,2
search,weekly_sales_2015_53,youtube,2/1/16,mobile,indonesia,81,2,0.3,2,2
search,weekly_sales_2015_53,youtube,2/1/16,mobile,korea,266,8,1.76,10,2
search,weekly_sales_2015_53,youtube,2/1/16,mobile,malaysia,883,12,3.75,23,2
search,weekly_sales_2015_53,youtube,2/1/16,mobile,singapore,86,1,0.48,10,2
search,weekly_sales_2015_53,youtube,2/1/16,mobile,thailand,357,10,1.99,31,2
social,weekly_sales_2015_53,facebook,2/1/16,desktop,cambodia,168,8,2.31,21,2
social,weekly_sales_2015_53,facebook,2/1/16,desktop,korea,88,1,0.51,3,2
social,weekly_sales_2015_53,facebook,2/1/16,desktop,malaysia,133,4,1.19,5,2
social,weekly_sales_2015_53,facebook,2/1/16,desktop,singapore,207,7,1.23,16,2
social,weekly_sales_2015_53,facebook,2/1/16,desktop,thailand,204,7,1.18,22,2
social,weekly_sales_2015_53,facebook,2/1/16,mobile,cambodia,101,2,0.15,12,2
social,weekly_sales_2015_53,facebook,2/1/16,mobile,indonesia,49,1,0.55,3,2
social,weekly_sales_2015_53,facebook,2/1/16,mobile,malaysia,457,9,2.58,19,2
social,weekly_sales_2015_53,facebook,2/1/16,mobile,singapore,61,1,0.22,3,2
social,weekly_sales_2015_53,facebook,2/1/16,mobile,thailand,138,5,1.54,22,2
social,weekly_sales_2015_53,ooyala,2/1/16,desktop,cambodia,218,3,0.84,18,2
social,weekly_sales_2015_53,ooyala,2/1/16,desktop,indonesia,147,3,0.73,6,2
social,weekly_sales_2015_53,ooyala,2/1/16,desktop,korea,106,6,1.34,8,2
social,weekly_sales_2015_53,ooyala,2/1/16,desktop,malaysia,114,5,1.35,5,2
social,weekly_sales_2015_53,ooyala,2/1/16,desktop,singapore,129,5,0.96,5,2
social,weekly_sales_2015_53,ooyala,2/1/16,mobile,indonesia,539,9,2.1,16,2
social,weekly_sales_2015_53,ooyala,2/1/16,mobile,korea,51,3,0.18,2,2
social,weekly_sales_2015_53,ooyala,2/1/16,mobile,malaysia,343,9,1.77,33,2
social,weekly_sales_2015_53,ooyala,2/1/16,mobile,singapore,183,6,1.39,13,2
social,weekly_sales_2015_53,ooyala,2/1/16,mobile,thailand,161,8,1.69,25,2
social,weekly_sales_2015_53,youtube,2/1/16,desktop,cambodia,138,1,0.67,10,2
social,weekly_sales_2015_53,youtube,2/1/16,desktop,indonesia,315,4,0.78,33,2
social,weekly_sales_2015_53,youtube,2/1/16,desktop,korea,191,5,0.71,6,2
social,weekly_sales_2015_53,youtube,2/1/16,desktop,malaysia,237,8,1.48,7,2
social,weekly_sales_2015_53,youtube,2/1/16,desktop,singapore,245,8,1.68,21,2
social,weekly_sales_2015_53,youtube,2/1/16,desktop,thailand,262,9,1.85,11,2
social,weekly_sales_2015_53,youtube,2/1/16,mobile,cambodia,223,7,1.57,21,2
social,weekly_sales_2015_53,youtube,2/1/16,mobile,indonesia,51,3,0.4,8,2
social,weekly_sales_2015_53,youtube,2/1/16,mobile,korea,77,4,0.55,6,2
social,weekly_sales_2015_53,youtube,2/1/16,mobile,malaysia,252,6,2.03,31,2
social,weekly_sales_2015_53,youtube,2/1/16,mobile,singapore,199,3,0.83,7,2
social,weekly_sales_2015_53,youtube,2/1/16,mobile,thailand,85,3,0.73,11,2
video,weekly_sales_2015_53,facebook,2/1/16,desktop,cambodia,96,1,0.39,3,2
video,weekly_sales_2015_53,facebook,2/1/16,desktop,indonesia,215,6,0.92,4,2
video,weekly_sales_2015_53,facebook,2/1/16,desktop,korea,216,6,1.35,21,2
video,weekly_sales_2015_53,facebook,2/1/16,desktop,malaysia,136,4,1.29,5,2
video,weekly_sales_2015_53,facebook,2/1/16,desktop,singapore,217,8,1.32,23,2
video,weekly_sales_2015_53,facebook,2/1/16,desktop,thailand,195,6,1.15,19,2
video,weekly_sales_2015_53,facebook,2/1/16,mobile,cambodia,16,1,0.7,14,2
video,weekly_sales_2015_53,facebook,2/1/16,mobile,indonesia,295,8,1.39,37,2
video,weekly_sales_2015_53,facebook,2/1/16,mobile,korea,220,4,0.96,6,2
video,weekly_sales_2015_53,facebook,2/1/16,mobile,malaysia,207,6,0.62,13,2
video,weekly_sales_2015_53,facebook,2/1/16,mobile,singapore,145,6,0.86,6,2
video,weekly_sales_2015_53,facebook,2/1/16,mobile,thailand,62,3,0.5,5,2
video,weekly_sales_2015_53,ooyala,2/1/16,desktop,cambodia,424,9,3.01,26,2
video,weekly_sales_2015_53,ooyala,2/1/16,desktop,indonesia,125,4,1.14,10,2
video,weekly_sales_2015_53,ooyala,2/1/16,desktop,malaysia,238,8,2.85,26,2
video,weekly_sales_2015_53,ooyala,2/1/16,desktop,singapore,127,3,0.72,15,2
video,weekly_sales_2015_53,ooyala,2/1/16,desktop,thailand,69,6,0.94,5,2
video,weekly_sales_2015_53,ooyala,2/1/16,mobile,cambodia,136,4,0.95,5,2
video,weekly_sales_2015_53,ooyala,2/1/16,mobile,indonesia,332,7,0.9,8,2
video,weekly_sales_2015_53,ooyala,2/1/16,mobile,korea,119,3,0.67,2,2
video,weekly_sales_2015_53,ooyala,2/1/16,mobile,malaysia,22,3,0.67,2,2
video,weekly_sales_2015_53,ooyala,2/1/16,mobile,singapore,284,6,1.82,24,2
video,weekly_sales_2015_53,ooyala,2/1/16,mobile,thailand,33,1,0.57,3,2
video,weekly_sales_2015_53,youtube,2/1/16,desktop,cambodia,109,4,1.49,5,2
video,weekly_sales_2015_53,youtube,2/1/16,desktop,indonesia,218,6,1.93,9,2
video,weekly_sales_2015_53,youtube,2/1/16,desktop,korea,126,5,0.59,6,2
video,weekly_sales_2015_53,youtube,2/1/16,desktop,malaysia,156,4,0.81,12,2
video,weekly_sales_2015_53,youtube,2/1/16,desktop,singapore,59,2,0.67,4,2
video,weekly_sales_2015_53,youtube,2/1/16,desktop,thailand,463,12,1.94,31,2
video,weekly_sales_2015_53,youtube,2/1/16,mobile,cambodia,353,6,1.87,46,2
video,weekly_sales_2015_53,youtube,2/1/16,mobile,indonesia,74,5,1.11,5,2
video,weekly_sales_2015_53,youtube,2/1/16,mobile,korea,238,5,0.74,4,2
video,weekly_sales_2015_53,youtube,2/1/16,mobile,malaysia,21,3,0.52,3,2
video,weekly_sales_2015_53,youtube,2/1/16,mobile,singapore,341,5,1.49,6,2
video,weekly_sales_2015_53,youtube,2/1/16,mobile,thailand,172,2,0.64,22,2
display,weekly_sales_2015_53,DoubleClick,3/1/16,desktop,cambodia,114,2,0.55,2,2
display,weekly_sales_2015_53,DoubleClick,3/1/16,desktop,indonesia,118,1,0.22,2,2
display,weekly_sales_2015_53,DoubleClick,3/1/16,desktop,korea,148,5,1.46,5,2
display,weekly_sales_2015_53,DoubleClick,3/1/16,desktop,malaysia,13,3,0.23,11,2
display,weekly_sales_2015_53,DoubleClick,3/1/16,desktop,singapore,65,4,0.84,5,2
display,weekly_sales_2015_53,DoubleClick,3/1/16,desktop,thailand,18,1,0.49,2,2
display,weekly_sales_2015_53,DoubleClick,3/1/16,mobile,cambodia,144,3,0.65,2,2
display,weekly_sales_2015_53,DoubleClick,3/1/16,mobile,indonesia,304,4,1.21,14,2
display,weekly_sales_2015_53,DoubleClick,3/1/16,mobile,korea,154,5,1.03,5,2
display,weekly_sales_2015_53,DoubleClick,3/1/16,mobile,malaysia,136,4,0.88,12,2
display,weekly_sales_2015_53,DoubleClick,3/1/16,mobile,singapore,146,4,1.11,20,2
display,weekly_sales_2015_53,DoubleClick,3/1/16,mobile,thailand,127,3,0.4,2,2
display,weekly_sales_2015_53,GDN,3/1/16,desktop,cambodia,140,3,0.72,12,2
display,weekly_sales_2015_53,GDN,3/1/16,desktop,indonesia,309,11,1.53,31,2
display,weekly_sales_2015_53,GDN,3/1/16,desktop,malaysia,203,6,1.29,8,2
display,weekly_sales_2015_53,GDN,3/1/16,desktop,singapore,124,4,0.59,18,2
display,weekly_sales_2015_53,GDN,3/1/16,desktop,thailand,203,5,0.85,14,2
display,weekly_sales_2015_53,GDN,3/1/16,mobile,cambodia,201,5,0.93,13,2
display,weekly_sales_2015_53,GDN,3/1/16,mobile,korea,251,3,0.95,5,2
display,weekly_sales_2015_53,GDN,3/1/16,mobile,malaysia,148,4,1.22,11,2
display,weekly_sales_2015_53,GDN,3/1/16,mobile,singapore,99,9,1.41,8,2
display,weekly_sales_2015_53,komli,3/1/16,desktop,indonesia,54,2,0.49,2,2
display,weekly_sales_2015_53,komli,3/1/16,desktop,korea,338,8,1.92,36,2
display,weekly_sales_2015_53,komli,3/1/16,desktop,singapore,87,3,0.6,2,2
display,weekly_sales_2015_53,komli,3/1/16,mobile,cambodia,87,4,0.36,4,2
display,weekly_sales_2015_53,komli,3/1/16,mobile,indonesia,78,1,0.78,3,2
display,weekly_sales_2015_53,komli,3/1/16,mobile,korea,108,1,0.28,3,2
display,weekly_sales_2015_53,komli,3/1/16,mobile,malaysia,45,1,0.73,2,2
display,weekly_sales_2015_53,komli,3/1/16,mobile,singapore,58,1,0.47,2,2
display,weekly_sales_2015_53,Line,3/1/16,desktop,indonesia,95,3,0.26,2,2
display,weekly_sales_2015_53,Line,3/1/16,desktop,korea,133,2,0.54,10,2
display,weekly_sales_2015_53,Line,3/1/16,desktop,singapore,223,3,0.97,12,2
display,weekly_sales_2015_53,Line,3/1/16,mobile,cambodia,217,6,1.62,16,2
display,weekly_sales_2015_53,Line,3/1/16,mobile,indonesia,50,4,1.05,4,2
display,weekly_sales_2015_53,Line,3/1/16,mobile,korea,279,4,1.19,25,2
